top30_rank,fund_id,scheme_name,amc_name,category,sub_category,risk_level,risk_cluster_label,cluster,rating,fund_manager,returns_1yr,returns_3yr,returns_5yr,composite_return,net_return,expense_ratio,sharpe,alpha,beta,std_dev,rari,fund_size_cr,fund_size_category,min_sip,min_lumpsum,investment_score,return_consistency,rank_by_score,rank_by_return,rank_by_sharpe,is_top30
11,572,Nippon India Small Cap Fund,Nippon India Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,4,Samir Rachh,8.7,47.6,16.8,25.96,25.1,0.86,2.06,10.01,0.89,19.31,1.344381149663387,23910.0,Giant (>20K Cr),100,5000,59.64,52.96911968834392,11,9,20,True
12,452,Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,Kotak Mahindra Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,4,Harish Krishnan,23.2,39.7,13.9,24.79,23.79,1.0,2.0,14.15,0.6,16.65,1.488888888888889,727.0,Mid (500–5K Cr),1000,5000,59.5,60.42696398673322,12,12,28,True
13,143,Canara Robeco Small Cap Fund,Canara Robeco Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Shridatta Bhandwaldar,-0.6,51.8,8.9,22.015,21.545,0.47,2.17,12.23,0.79,17.75,1.2402816901408449,4831.0,Mid (500–5K Cr),1000,5000,59.29,45.57553703390502,13,23,9,True
14,595,PGIM India Midcap Opportunities Fund,PGIM India Mutual Fund,Equity,Mid Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Aniruddha Naha,2.0,42.9,19.0,23.965,23.505,0.46,1.92,6.9,0.97,18.52,1.2940064794816415,7707.0,Large (5K–20K Cr),1000,5000,58.2,52.94655712815991,14,14,48,True
15,80,AXIS Small Cap Fund,Axis Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Anupam Tiwari,3.4,34.5,19.4,21.485,20.945,0.54,2.06,8.34,0.66,14.71,1.4605710401087697,11462.0,Large (5K–20K Cr),500,500,57.23,57.94116276440511,15,31,20,True
16,460,Kotak Small Cap Fund,Kotak Mahindra Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,4,Pankaj Tibrewal,-0.7,43.1,17.0,22.595,22.005,0.59,1.98,8.99,0.81,18.26,1.237404162102957,8617.0,Large (5K–20K Cr),500,500,57.23,51.45949541696551,15,20,31,True
17,292,HSBC Small Cap Fund,HSBC Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,3,Venugopal Manghat,5.1,44.7,12.7,22.38,21.61,0.77,2.08,9.87,0.82,17.95,1.2467966573816156,8625.0,Large (5K–20K Cr),500,5000,56.96,52.47778323246038,17,21,18,True
18,301,ICICI Pru BHARAT 22 FOF  – Direct Growth,ICICI Prudential Mutual Fund,Other,FoFs Domestic,6,📈 High Return / Moderate Risk,0,5,Kayzad Eghlim,22.1,35.0,8.9,20.675,20.595,0.08,1.47,9.68,0.88,20.2,1.0235148514851486,89.0,Small (<500 Cr),1000,5000,56.35,60.44304567780459,18,44,248,True
19,347,ICICI Pru Smallcap Fund,ICICI Prudential Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,3,Harish Bihani,7.7,41.8,14.9,22.875,22.065,0.81,1.94,8.49,0.82,18.41,1.2425312330255296,4618.0,Mid (500–5K Cr),100,5000,56.07,55.5199267502008,19,18,40,True
20,457,Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,Kotak Mahindra Mutual Fund,Other,FoFs Domestic,5,📈 High Return / Moderate Risk,0,0,Devender Singhal,11.2,25.0,15.3,17.875,17.745,0.13,1.91,8.04,0.7,10.99,1.6264786169244767,783.0,Mid (500–5K Cr),1000,5000,56.01,66.40649076283421,20,103,52,True
21,257,HDFC Small Cap Fund,HDFC Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,3,Chirag Setalvad,12.5,43.5,13.5,23.8,23.0,0.8,1.88,6.54,0.91,19.61,1.2136664966853647,14648.0,Large (5K–20K Cr),100,100,55.91,55.87705268199768,21,16,60,True
22,754,Templeton India Equity Income Fund,Franklin Templeton Mutual Fund,Equity,Dividend Yield Funds,6,📈 High Return / Moderate Risk,0,0,Anand Radhakrishnan,8.3,37.7,14.5,21.380000000000003,20.08,1.3,2.26,13.72,0.7,13.41,1.5943325876211785,1350.0,Mid (500–5K Cr),500,5000,55.9,57.99580634657427,22,33,5,True
23,322,ICICI Pru Infrastructure Fund,ICICI Prudential Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Ihab Dalwai,24.3,44.0,15.1,27.055,25.415,1.64,1.83,11.76,0.78,20.09,1.3466898954703832,2269.0,Mid (500–5K Cr),100,5000,55.82,58.7288486173437,23,5,82,True
24,523,Motilal Oswal Midcap Fund,Motilal Oswal Mutual Fund,Equity,Mid Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Niket Shah,14.6,34.0,16.4,22.2,21.33,0.87,1.98,7.69,0.77,15.34,1.4471968709256844,3769.0,Mid (500–5K Cr),500,500,55.59,62.77450224895424,24,22,31,True
25,309,ICICI Pru Dividend Yield Equity Fund,ICICI Prudential Mutual Fund,Equity,Dividend Yield Funds,6,📈 High Return / Moderate Risk,0,0,Mittul Kalawadia,8.5,37.6,12.1,20.305,19.645,0.66,1.94,10.39,0.83,15.42,1.3167963683527886,1258.0,Mid (500–5K Cr),100,5000,55.49,57.62922259261797,25,51,40,True
26,451,Kotak India Growth Fund,Kotak Mahindra Mutual Fund,Equity,Multi Cap Funds,6,📈 High Return / Moderate Risk,0,0,Devender Singhal,4.8,35.5,15.6,20.405,20.065,0.34,1.75,7.67,0.95,17.23,1.1842716192687173,90.0,Small (<500 Cr),0,5000,55.33,57.92017235840392,26,48,107,True
27,253,HDFC Retirement Savings Fund,HDFC Mutual Fund,Solution Oriented,Retirement Funds,6,📈 High Return / Moderate Risk,0,5,Srinivasan Ramamurthy,11.6,34.9,14.8,21.195,20.415,0.78,1.92,9.26,0.85,15.16,1.3980870712401057,2696.0,Mid (500–5K Cr),100,100,55.3,60.86307834891722,27,35,48,True
28,606,Quant Liquid Plan – Direct Growth,Quant Mutual Fund,Debt,Liquid Mutual Funds,2,⭐ High Return / Low Risk,1,5,Sanjeev Sharma,5.6,4.9,5.9,5.49,5.2,0.29,3.52,1.58,0.47,0.27,20.33333333333333,1561.0,Mid (500–5K Cr),1000,5000,55.14,72.98017288701807,28,729,1,True
29,679,Sundaram Emerging Small Cap Series III – Dir Growth,Sundaram Mutual Fund,Equity,Small Cap Mutual Funds,2,📈 High Return / Moderate Risk,0,0,Rohit Seksaria,9.4,43.7,8.9,21.18,20.43,0.75,1.97,8.84,0.86,19.13,1.1071615263983272,297.0,Small (<500 Cr),0,5000,55.03,53.54431467583227,29,36,35,True
30,663,SBI Small Cap Fund,SBI Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,4,R Srinivasan,8.2,38.3,15.3,21.93,21.23,0.7,1.88,6.48,0.75,16.81,1.3045806067816776,15395.0,Large (5K–20K Cr),500,5000,54.93,57.75897571965195,30,26,60,True
