fund_id,scheme_name,amc_name,category,sub_category,risk_level,risk_cluster_label,cluster,rating,fund_manager,returns_1yr,returns_3yr,returns_5yr,composite_return,net_return,expense_ratio,sharpe,alpha,beta,std_dev,rari,fund_size_cr,fund_size_category,min_sip,min_lumpsum,investment_score,return_consistency,rank_by_score,rank_by_return,rank_by_sharpe,is_top50
36,Aditya Birla SL Midcap Fund,Aditya Birla Sun Life Mutual Fund,Equity,Mid Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,1,Anil Shah,-3.6,28.0,8.3,12.814999999999998,11.614999999999998,1.2,1.54,-0.81,0.89,16.52,0.7757263922518158,3436.0,Mid (500–5K Cr),1000,1000,37.19,57.53369644362155,448,334,201,False
37,Aditya Birla SL Money Manager Fund,Aditya Birla Sun Life Mutual Fund,Debt,Money Market Funds,3,⭐ High Return / Low Risk,1,4,Mohit Sharma,5.6,5.6,6.4,5.96,5.75,0.21,1.94,3.06,1.31,0.68,8.76470588235294,13095.0,Large (5K–20K Cr),1000,1000,41.36,73.03145281561106,356,682,40,False
38,Aditya Birla SL Nifty 50 Index Fund,Aditya Birla Sun Life Mutual Fund,Other,Index Funds,6,📈 High Return / Moderate Risk,0,3,Lovelish Solanki,0.7,25.5,11.6,14.285,13.965,0.32,1.29,-0.87,0.99,16.65,0.857957957957958,494.0,Small (<500 Cr),1000,100,53.87,61.06312788382219,171,255,396,False
39,Aditya Birla SL Overnight Fund,Aditya Birla Sun Life Mutual Fund,Debt,Overnight Mutual Funds,1,⭐ High Return / Low Risk,1,3,Kaustubh Gupta,5.4,3.9,8.9,6.45,6.38,0.07,0.02,0.58,0.43,0.35,18.42857142857143,13399.0,Large (5K–20K Cr),0,5000,30.79,70.92753231123932,639,610,789,False
40,Aditya Birla SL Pure Value Fund,Aditya Birla Sun Life Mutual Fund,Equity,Value Funds,6,📈 High Return / Moderate Risk,0,1,Kunal Sangoi,3.0,29.8,4.3,12.965,11.845,1.12,1.36,3.41,0.99,18.83,0.6885289431757834,3798.0,Mid (500–5K Cr),1000,1000,49.55,58.38163778081516,223,320,344,False
41,Aditya Birla SL Regular Savings Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Conservative Hybrid Mutual Funds,4,⭐ High Return / Low Risk,1,3,Dhaval Shah,3.6,13.9,7.6,9.004999999999999,8.084999999999999,0.92,2.08,5.71,0.6,4.8,1.8760416666666664,1585.0,Mid (500–5K Cr),500,500,42.8,68.30071005857845,330,483,18,False
42,Aditya Birla SL Retirement-The 30s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Retirement Funds,6,📈 High Return / Moderate Risk,0,2,Dhaval Shah,0.0,17.9,8.9,10.27,9.21,1.06,0.94,-5.61,0.84,14.94,0.6874163319946452,258.0,Small (<500 Cr),500,1000,25.71,64.54328647614902,751,446,606,False
43,Aditya Birla SL Retirement-The 40s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Retirement Funds,6,📈 High Return / Moderate Risk,0,2,Dhaval Shah,-0.1,15.0,8.9,9.235,8.165,1.07,0.93,-3.14,0.77,11.86,0.7786677908937605,91.0,Small (<500 Cr),500,1000,24.09,65.89706201596249,767,472,611,False
44,Aditya Birla SL Retirement-The 50s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Retirement Funds,4,⭐ High Return / Low Risk,1,2,Dhaval Shah,3.0,4.6,8.9,6.215,5.585,0.63,0.13,-2.04,0.34,2.99,2.0785953177257523,27.0,Small (<500 Cr),500,1000,20.15,70.4421037704843,795,662,774,False
45,Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Retirement Funds,3,⭐ High Return / Low Risk,1,1,Dhaval Shah,2.9,4.6,8.9,6.195,5.345000000000001,0.85,0.18,0.09,1.09,2.19,2.828767123287671,26.0,Small (<500 Cr),500,1000,19.29,70.40086907267103,798,665,771,False
46,Aditya Birla SL Savings Fund,Aditya Birla Sun Life Mutual Fund,Debt,Ultra Short Duration Funds,3,⭐ High Return / Low Risk,1,4,Kaustubh Gupta,5.5,5.8,6.5,6.055,5.715,0.34,1.96,2.64,0.86,0.76,7.967105263157895,14457.0,Large (5K–20K Cr),1000,1000,39.92,72.98017288701807,387,673,36,False
47,Aditya Birla SL Short Term Fund,Aditya Birla Sun Life Mutual Fund,Debt,Short Duration Funds,3,⭐ High Return / Low Risk,1,4,Kaustubh Gupta,5.5,7.8,7.6,7.25,6.87,0.38,1.57,4.91,1.27,2.05,3.536585365853659,5045.0,Large (5K–20K Cr),1000,1000,39.31,72.21923204072166,402,530,184,False
48,Aditya Birla SL Small Cap Fund,Aditya Birla Sun Life Mutual Fund,Equity,Small Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,1,Vishal Gajwani,-2.3,31.6,5.4,13.03,11.990000000000002,1.04,1.51,-0.73,0.89,19.36,0.6730371900826447,2901.0,Mid (500–5K Cr),1000,1000,40.66,55.721914029281066,375,317,221,False
49,Aditya Birla SL Tax Relief ’96 – Direct Growth,Aditya Birla Sun Life Mutual Fund,Equity,ELSS Mutual Funds,6,⭐ High Return / Low Risk,1,1,Atul Penkar,-3.0,16.1,5.8,7.645,6.715,0.93,0.83,-7.68,0.87,15.31,0.4993468321358589,12755.0,Large (5K–20K Cr),500,500,23.1,63.93352131733576,775,512,649,False
50,AXIS All Seasons Debt Fund,Axis Mutual Fund,Other,FoFs Domestic,4,⭐ High Return / Low Risk,1,4,R Sivakumar,4.7,6.2,8.9,7.115,6.8950000000000005,0.22,1.02,1.88,0.8,2.06,3.453883495145631,161.0,Small (<500 Cr),1000,5000,34.66,71.36495336558349,518,538,559,False
51,AXIS Arbitrage Fund,Axis Mutual Fund,Hybrid,Arbitrage Mutual Funds,1,⭐ High Return / Low Risk,1,4,Ashish Naik,5.6,4.9,5.6,5.355,5.045000000000001,0.31,1.21,1.41,0.44,0.68,7.875,3085.0,Mid (500–5K Cr),1000,500,33.37,73.08918784253002,568,741,479,False
52,AXIS Balanced Advantage Fund,Axis Mutual Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,⭐ High Return / Low Risk,1,2,Anupam Tiwari,1.2,12.4,8.0,8.18,7.479999999999999,0.7,1.05,-1.23,0.53,8.09,1.011124845488257,2077.0,Mid (500–5K Cr),1000,500,33.01,67.8506386390964,581,501,548,False
53,AXIS Banking & PSU Debt Fund,Axis Mutual Fund,Debt,Banking and PSU Mutual Funds,3,⭐ High Return / Low Risk,1,4,Aditya Pagaria,4.5,6.4,7.2,6.38,6.05,0.33,1.11,3.83,1.62,1.5,4.253333333333333,13953.0,Large (5K–20K Cr),1000,5000,34.67,72.10649009344844,516,638,520,False
54,AXIS Bluechip Fund,Axis Mutual Fund,Equity,Large Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,4,Shreyash Devalkar,-6.1,17.3,12.1,10.28,9.65,0.63,0.9,-5.97,0.89,15.76,0.652284263959391,33049.0,Giant (>20K Cr),500,500,28.73,61.20621240270597,697,445,626,False
55,AXIS Children’s Gift Fund,Axis Mutual Fund,Solution Oriented,Childrens Funds,6,📈 High Return / Moderate Risk,0,0,Ashish Naik,-6.5,17.8,10.1,9.475,8.415,1.06,1.1,-1.6,0.86,12.97,0.7305319969159598,685.0,Mid (500–5K Cr),1000,5000,27.43,61.07466428856797,731,463,524,False
56,AXIS Corporate Debt Fund,Axis Mutual Fund,Debt,Corporate Bond Mutual Funds,3,⭐ High Return / Low Risk,1,5,Devang Shah,4.9,7.5,7.3,6.890000000000001,6.670000000000001,0.22,1.28,2.46,0.67,2.06,3.3446601941747574,3783.0,Mid (500–5K Cr),1000,5000,37.36,72.04649740334871,443,561,432,False
57,AXIS Credit Risk Fund,Axis Mutual Fund,Debt,Credit Risk Funds,4,⭐ High Return / Low Risk,1,4,Devang Shah,5.4,7.4,6.8,6.73,5.92,0.81,1.77,3.22,0.26,1.62,4.154320987654321,620.0,Mid (500–5K Cr),1000,5000,34.6,72.46701274307338,521,575,98,False
58,AXIS Dynamic Bond Fund,Axis Mutual Fund,Debt,Dynamic Bond,3,⭐ High Return / Low Risk,1,2,R Sivakumar,3.4,6.5,7.7,6.42,6.16,0.26,0.45,1.2,1.84,3.83,1.6762402088772843,1733.0,Mid (500–5K Cr),1000,5000,29.23,71.27447446554375,686,629,729,False
59,AXIS Equity Hybrid Fund,Axis Mutual Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,📈 High Return / Moderate Risk,0,2,Ashish Naik,-4.9,17.4,8.9,9.114999999999998,8.224999999999998,0.89,1.09,-1.88,0.87,13.0,0.701153846153846,1699.0,Mid (500–5K Cr),1000,500,28.24,62.23885244173371,712,479,529,False
60,AXIS Equity Saver Fund,Axis Mutual Fund,Hybrid,Equity Savings Mutual Funds,4,⭐ High Return / Low Risk,1,3,R Sivakumar,1.4,12.7,8.8,8.685,7.805000000000001,0.88,1.19,0.66,1.16,7.52,1.1549202127659577,978.0,Mid (500–5K Cr),1000,500,33.6,67.75370470385539,560,491,485,False
61,AXIS Flexi Cap Fund,Axis Mutual Fund,Equity,Flexi Cap Funds,6,📈 High Return / Moderate Risk,0,4,Shreyash Devalkar,-8.3,17.9,12.3,10.14,9.44,0.7,0.92,-5.98,0.89,16.19,0.6263125386040764,10077.0,Large (5K–20K Cr),500,500,28.46,59.696231886157015,708,451,618,False
62,AXIS Floater Fund,Axis Mutual Fund,Debt,Floater Mutual Funds,2,📈 High Return / Moderate Risk,0,2,Aditya Pagaria,5.8,18.5,8.9,11.64,11.48,0.16,1.29,1.855,0.86,12.3,0.946341463414634,416.0,Small (<500 Cr),1000,5000,49.43,66.87190317530973,226,378,396,False
63,AXIS Focused 25 Fund,Axis Mutual Fund,Equity,Focused Funds,6,⭐ High Return / Low Risk,1,2,Jinesh Gopani,-14.7,14.8,8.9,6.244999999999999,5.504999999999999,0.74,0.74,-10.67,1.04,18.84,0.3314755838641188,15139.0,Large (5K–20K Cr),500,500,22.46,57.88340029568168,780,655,675,False
64,AXIS FTP – Series 104 – 1112Days,Axis Mutual Fund,Debt,Fixed Maturity Plans,2,📈 High Return / Moderate Risk,0,0,Devang Shah,11.2,14.5,14.0,13.614999999999998,13.484999999999998,0.13,2.19,5.29,2.36,12.3,1.1069105691056909,110.0,Small (<500 Cr),0,0,56.18,71.71475682136888,137,279,8,False
65,AXIS FTP – Series 109 – 111Days,Axis Mutual Fund,Debt,Fixed Maturity Plans,3,📈 High Return / Moderate Risk,0,0,Devang Shah,11.2,14.5,14.0,13.614999999999998,13.614999999999998,0.0,1.29,1.855,0.86,12.3,1.1069105691056909,565.0,Mid (500–5K Cr),0,0,49.47,71.71475682136888,224,279,396,False
66,AXIS Gilt Fund,Axis Mutual Fund,Debt,Gilt Mutual Funds,3,⭐ High Return / Low Risk,1,4,Devang Shah,4.0,5.9,7.9,6.42,6.03,0.39,0.6,1.09,0.56,2.87,2.2369337979094075,133.0,Small (<500 Cr),1000,5000,28.49,71.54311936745475,706,629,700,False
67,AXIS Gold Fund,Axis Mutual Fund,Other,FoFs Domestic,5,📈 High Return / Moderate Risk,0,4,Aditya Pagaria,14.5,12.0,13.7,13.265,13.095,0.17,0.49,-0.04,0.97,13.9,0.95431654676259,290.0,Small (<500 Cr),1000,5000,39.94,72.21661849748239,386,297,716,False
68,AXIS Growth Opportunities Fund,Axis Mutual Fund,Equity,Large & Mid Cap Funds,6,📈 High Return / Moderate Risk,0,3,Jinesh Gopani,-6.4,26.5,8.9,11.999999999999998,11.409999999999998,0.59,1.28,1.19,0.91,17.3,0.6936416184971097,8053.0,Large (5K–20K Cr),1000,500,40.34,57.02993929414976,379,366,432,False
69,AXIS Liquid Fund,Axis Mutual Fund,Debt,Liquid Mutual Funds,2,⭐ High Return / Low Risk,1,4,Devang Shah,5.7,4.3,5.4,5.075,4.925,0.15,0.96,1.41,0.78,0.38,13.355263157894736,27226.0,Giant (>20K Cr),0,500,34.22,72.75622155137955,537,769,595,False
70,AXIS Long Term Equity Fund,Axis Mutual Fund,Equity,ELSS Mutual Funds,6,📈 High Return / Moderate Risk,0,2,Jinesh Gopani,-11.1,15.7,9.4,7.504999999999999,6.654999999999999,0.85,0.75,-9.98,1.02,18.65,0.4024128686327077,28754.0,Giant (>20K Cr),500,500,23.02,59.48036284854486,776,518,674,False
71,AXIS Midcap Fund,Axis Mutual Fund,Equity,Mid Cap Mutual Funds,6,📈 High Return / Moderate Risk,0,5,Shreyash Devalkar,-2.5,25.2,15.8,15.43,14.86,0.57,1.4,-2.25,0.81,15.37,1.003903708523097,18920.0,Large (5K–20K Cr),500,500,41.7,59.4070512883121,348,192,304,False
72,AXIS Money Market Fund,Axis Mutual Fund,Debt,Money Market Funds,2,⭐ High Return / Low Risk,1,4,Devang Shah,5.6,5.4,8.9,7.015,6.805,0.21,1.91,2.81,1.22,0.62,11.314516129032258,4002.0,Mid (500–5K Cr),1000,5000,42.56,71.52779663258869,334,548,52,False
73,AXIS Nifty 100 Index Fund,Axis Mutual Fund,Other,Index Funds,6,📈 High Return / Moderate Risk,0,3,Ashish Naik,-1.7,25.1,8.9,12.45,12.3,0.15,1.24,-1.76,0.99,16.66,0.7472989195678271,953.0,Mid (500–5K Cr),1000,500,42.36,59.99617283582048,341,345,466,False
74,AXIS Overnight Fund,Axis Mutual Fund,Debt,Overnight Mutual Funds,1,⭐ High Return / Low Risk,1,4,Aditya Pagaria,5.4,3.9,8.9,6.45,6.4,0.05,0.09,0.62,0.44,0.35,18.42857142857143,12566.0,Large (5K–20K Cr),0,500,31.37,70.92753231123932,625,610,778,False
75,AXIS Regular Saver Fund,Axis Mutual Fund,Hybrid,Conservative Hybrid Mutual Funds,4,⭐ High Return / Low Risk,1,3,Devang Shah,1.8,10.9,7.0,7.324999999999999,6.464999999999999,0.86,1.37,1.34,0.71,4.69,1.56183368869936,407.0,Small (<500 Cr),1000,500,32.9,68.92788307139324,585,528,339,False
76,AXIS Retirement Savings Fund,Axis Mutual Fund,Solution Oriented,Retirement Funds,6,⭐ High Return / Low Risk,1,2,Jinesh Gopani,-1.3,13.6,8.9,8.504999999999999,7.904999999999999,0.6,0.79,-4.95,0.85,13.43,0.633283693224125,270.0,Small (<500 Cr),1000,5000,25.34,65.87602817075575,754,493,660,False
